system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
145,357.0,-21.5269718170166,-15.46074390411377,6.06622838973999,90,1290,171,4.28609804173259,"{""type"":""Point"",""coordinates"":[127.80738918479229,-19.171587919282203]}"
146,357.0,-21.8187313079834,-15.797698974609375,6.021032810211182,90,1320,180,0.0,"{""type"":""Point"",""coordinates"":[127.80767450202875,-19.171587919282203]}"
147,358.0,-21.23574447631836,-15.808459281921387,5.4272847175598145,90,1350,190,4.286098041901468,"{""type"":""Point"",""coordinates"":[127.80795981926522,-19.171587919282203]}"
148,358.0,-21.1531925201416,-15.037747383117676,6.115445613861084,90,1380,180,6.050201668390813,"{""type"":""Point"",""coordinates"":[127.8082451365017,-19.171587919282203]}"
149,358.0,-20.23464584350586,-15.784659385681152,4.449986934661865,90,1410,180,6.050201668390813,"{""type"":""Point"",""coordinates"":[127.80853045373816,-19.171587919282203]}"
150,358.0,-20.56678009033203,-14.777427673339844,5.789351940155029,90,1440,180,3.0335572384605665,"{""type"":""Point"",""coordinates"":[127.80881577097463,-19.171587919282203]}"
151,356.0,-20.517105102539062,-14.651729583740234,5.86537504196167,90,1470,161,6.758070068491588,"{""type"":""Point"",""coordinates"":[127.80910108821111,-19.171587919282203]}"
152,356.0,-20.757966995239258,-14.907709121704102,5.850257873535156,90,1500,180,0.0,"{""type"":""Point"",""coordinates"":[127.80938640544757,-19.171587919282203]}"
153,327.0,-27.687543869018555,-22.533245086669922,5.154298305511475,135,0,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.171587919282207]}"
154,327.0,-27.344532012939453,-20.336700439453125,7.007831573486328,135,30,180,0.0,"{""type"":""Point"",""coordinates"":[127.79532229337683,-19.171779824505972]}"
155,327.0,-27.670076370239258,-21.172651290893555,6.497424125671387,135,60,180,0.0,"{""type"":""Point"",""coordinates"":[127.79552404312952,-19.171971729729748]}"
156,327.0,-26.36446189880371,-20.029144287109375,6.335318088531494,135,90,180,3.0335681514260027,"{""type"":""Point"",""coordinates"":[127.79572579288221,-19.172163634953513]}"
157,327.0,-27.182575225830078,-20.36345100402832,6.819124221801758,135,120,180,0.0,"{""type"":""Point"",""coordinates"":[127.79592754263491,-19.172355540177286]}"
158,327.0,-25.940109252929688,-18.585298538208008,7.35481071472168,135,150,180,3.0335759470923063,"{""type"":""Point"",""coordinates"":[127.7961292923876,-19.172547445401054]}"
159,328.0,-20.69072151184082,-12.611078262329102,8.079642295837402,135,180,180,0.0,"{""type"":""Point"",""coordinates"":[127.7963310421403,-19.17273935062483]}"
160,330.0,-19.098669052124023,-12.963787078857422,6.134881973266602,135,210,190,6.758125229193534,"{""type"":""Point"",""coordinates"":[127.796532791893,-19.172931255848592]}"
161,330.0,-20.962244033813477,-14.954418182373047,6.00782585144043,135,240,180,0.0,"{""type"":""Point"",""coordinates"":[127.79673454164569,-19.17312316107237]}"
162,329.0,-19.5100154876709,-14.721598625183105,4.788415908813477,135,270,171,3.0335899790028473,"{""type"":""Point"",""coordinates"":[127.79693629139838,-19.17331506629614]}"
163,331.0,-18.592981338500977,-13.708755493164062,4.884225845336914,135,300,190,4.286148612229694,"{""type"":""Point"",""coordinates"":[127.79713804115109,-19.17350697151991]}"
164,331.0,-18.33596420288086,-13.17276382446289,5.163199424743652,135,330,190,6.758156259078713,"{""type"":""Point"",""coordinates"":[127.7973397909038,-19.17369887674368]}"
165,334.0,-20.202919006347656,-15.484590530395508,4.718327522277832,135,360,180,0.0,"{""type"":""Point"",""coordinates"":[127.7975415406565,-19.173890781967447]}"
166,350.0,-22.104143142700195,-15.721879959106445,6.382262229919434,135,390,248,38.48254500213183,"{""type"":""Point"",""coordinates"":[127.79774329040917,-19.17408268719122]}"
167,357.0,-22.250530242919922,-15.782560348510742,6.467970848083496,135,420,235,34.64380704642795,"{""type"":""Point"",""coordinates"":[127.79794504016189,-19.174274592414996]}"
168,368.0,-21.331941604614258,-14.402259826660156,6.92968225479126,135,450,218,11.968613037025522,"{""type"":""Point"",""coordinates"":[127.79814678991458,-19.17446649763876]}"
169,372.0,-18.670549392700195,-10.460498809814453,8.210050582885742,135,480,180,0.0,"{""type"":""Point"",""coordinates"":[127.79834853966727,-19.17465840286253]}"
170,367.0,-20.129737854003906,-15.51827621459961,4.611461162567139,135,510,171,12.32589485320908,"{""type"":""Point"",""coordinates"":[127.79855028941998,-19.174850308086306]}"
171,365.0,-19.549339294433594,-14.035563468933105,5.5137763023376465,135,540,161,6.050328453541669,"{""type"":""Point"",""coordinates"":[127.79875203917267,-19.17504221331007]}"
172,365.0,-19.18210220336914,-14.232640266418457,4.949460983276367,135,570,180,0.0,"{""type"":""Point"",""coordinates"":[127.79895378892536,-19.175234118533844]}"
173,364.0,-19.34547233581543,-14.470908164978027,4.8745646476745605,135,600,180,3.0336289603076243,"{""type"":""Point"",""coordinates"":[127.79915553867806,-19.175426023757613]}"
174,363.0,-20.422752380371094,-14.314785957336426,6.107966899871826,135,630,171,6.758235563407976,"{""type"":""Point"",""coordinates"":[127.79935728843076,-19.175617928981385]}"
175,358.0,-19.264375686645508,-13.904629707336426,5.359745502471924,135,660,152,9.033808247546405,"{""type"":""Point"",""coordinates"":[127.79955903818345,-19.175809834205158]}"
176,358.0,-19.897619247436523,-14.675773620605469,5.2218451499938965,135,690,180,0.0,"{""type"":""Point"",""coordinates"":[127.79976078793615,-19.17600173942893]}"
177,356.0,-18.928451538085938,-14.314762115478516,4.613688945770264,135,720,161,6.758259701573144,"{""type"":""Point"",""coordinates"":[127.79996253768884,-19.1761936446527]}"
178,357.0,-19.77159309387207,-13.76155948638916,6.010033130645752,135,750,161,6.050377937503069,"{""type"":""Point"",""coordinates"":[127.80016428744153,-19.176385549876468]}"
179,356.0,-21.174184799194336,-14.509202003479004,6.66498327255249,135,780,171,4.286227777585544,"{""type"":""Point"",""coordinates"":[127.80036603719424,-19.17657745510024]}"
180,355.0,-20.023759841918945,-13.58806037902832,6.4357008934021,135,810,180,3.0336523512794917,"{""type"":""Point"",""coordinates"":[127.80056778694693,-19.17676936032401]}"
181,354.0,-19.98104476928711,-13.970752716064453,6.01029109954834,135,840,180,0.0,"{""type"":""Point"",""coordinates"":[127.80076953669962,-19.176961265547778]}"
182,352.0,-20.234479904174805,-14.484519004821777,5.749961853027344,135,870,180,6.0504057740932735,"{""type"":""Point"",""coordinates"":[127.80097128645232,-19.177153170771554]}"
183,352.0,-19.089065551757812,-14.529414176940918,4.559651851654053,135,900,171,4.286247571073364,"{""type"":""Point"",""coordinates"":[127.80117303620504,-19.17734507599532]}"
184,351.0,-20.851043701171875,-13.444358825683594,7.406685829162598,135,930,180,0.0,"{""type"":""Point"",""coordinates"":[127.8013747859577,-19.17753698121909]}"
185,350.0,-19.72794532775879,-13.952970504760742,5.774974346160889,135,960,171,3.0336710648257204,"{""type"":""Point"",""coordinates"":[127.80157653571041,-19.17772888644286]}"
186,350.0,-20.41359519958496,-14.451953887939453,5.961641311645508,135,990,171,3.033674184649855,"{""type"":""Point"",""coordinates"":[127.80177828546313,-19.17792079166663]}"
187,349.0,-20.52198600769043,-14.596837043762207,5.925149440765381,135,1020,171,3.0336773035457165,"{""type"":""Point"",""coordinates"":[127.80198003521582,-19.178112696890405]}"
188,347.0,-21.68992805480957,-15.84415054321289,5.845778465270996,135,1050,180,3.033680422696504,"{""type"":""Point"",""coordinates"":[127.80218178496851,-19.17830460211417]}"
189,347.0,-21.506420135498047,-15.277381896972656,6.229039192199707,135,1080,180,3.0336851015277846,"{""type"":""Point"",""coordinates"":[127.80238353472122,-19.178496507337943]}"
190,347.0,-20.552507400512695,-14.610174179077148,5.9423322677612305,135,1110,199,8.525119163325035,"{""type"":""Point"",""coordinates"":[127.8025852844739,-19.178688412561716]}"
191,349.0,-22.203691482543945,-15.729555130004883,6.4741363525390625,135,1140,180,0.0,"{""type"":""Point"",""coordinates"":[127.8027870342266,-19.178880317785488]}"
192,349.0,-21.354183197021484,-14.956838607788086,6.397343635559082,135,1170,180,0.0,"{""type"":""Point"",""coordinates"":[127.8029887839793,-19.179072223009253]}"
193,349.0,-21.884212493896484,-14.959104537963867,6.925108432769775,135,1200,190,4.286298158270349,"{""type"":""Point"",""coordinates"":[127.80319053373199,-19.179264128233026]}"
194,348.0,-22.048677444458008,-15.482995986938477,6.565681457519531,135,1230,180,0.0,"{""type"":""Point"",""coordinates"":[127.80339228348468,-19.17945603345679]}"
195,348.0,-21.613292694091797,-14.975628852844238,6.637664794921875,135,1260,180,0.0,"{""type"":""Point"",""coordinates"":[127.80359403323739,-19.179647938680567]}"
196,349.0,-22.452041625976562,-16.264118194580078,6.18792200088501,135,1290,180,3.0337100562777612,"{""type"":""Point"",""coordinates"":[127.80379578299008,-19.179839843904336]}"
197,349.0,-23.03252410888672,-15.59696102142334,7.435562610626221,135,1320,161,6.050510944805846,"{""type"":""Point"",""coordinates"":[127.80399753274277,-19.180031749128112]}"
198,348.0,-22.764131546020508,-15.1700439453125,7.594088554382324,135,1350,180,3.0337162953304784,"{""type"":""Point"",""coordinates"":[127.80419928249547,-19.180223654351877]}"
199,348.0,-22.330028533935547,-15.162179946899414,7.167849540710449,135,1380,180,3.033719414581166,"{""type"":""Point"",""coordinates"":[127.80440103224817,-19.18041555957565]}"
200,348.0,-21.30742645263672,-14.364154815673828,6.943270206451416,135,1410,171,6.758439036096851,"{""type"":""Point"",""coordinates"":[127.80460278200086,-19.180607464799415]}"
201,346.0,-21.054485321044922,-15.162038803100586,5.892446994781494,135,1440,180,0.0,"{""type"":""Point"",""coordinates"":[127.80480453175356,-19.180799370023188]}"
202,347.0,-20.203153610229492,-14.402849197387695,5.800304412841797,135,1470,180,3.0337303333403813,"{""type"":""Point"",""coordinates"":[127.80500628150625,-19.18099127524696]}"
203,346.0,-21.58249855041504,-15.313711166381836,6.2687883377075195,135,1500,180,0.0,"{""type"":""Point"",""coordinates"":[127.80520803125894,-19.18118318047073]}"
204,327.0,-27.687543869018555,-22.533245086669922,5.154298305511475,180,0,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.171587919282207]}"
205,327.0,-26.389385223388672,-19.907957077026367,6.481428146362305,180,30,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.171859314252345]}"
206,328.0,-27.125831604003906,-20.001184463500977,7.12464714050293,180,60,180,3.0335681514260027,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.172130709222493]}"
207,328.0,-27.344661712646484,-20.737239837646484,6.607421398162842,180,90,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.172402104192646]}"
208,328.0,-25.150026321411133,-17.96620750427246,7.18381929397583,180,120,171,3.033577505972465,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17267349916279]}"
209,328.0,-24.36079978942871,-18.17214012145996,6.18865966796875,180,150,171,3.033582183303068,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.172944894132936]}"
210,328.0,-20.958154678344727,-13.204001426696777,7.754152774810791,180,180,171,3.0335868607006202,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.173216289103085]}"
211,327.0,-18.13307762145996,-12.228523254394531,5.90455436706543,180,210,209,9.513630330528374,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17348768407323]}"
212,328.0,-18.96428108215332,-11.899259567260742,7.06502103805542,180,240,199,6.758159706866529,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.173759079043375]}"
213,328.0,-18.52800750732422,-12.406673431396484,6.121334552764893,180,270,199,6.758170050413541,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.174030474013524]}"
214,329.0,-19.16583824157715,-13.650297164916992,5.515540599822998,180,300,190,4.286168402367786,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.174301868983672]}"
215,330.0,-19.078039169311523,-14.191378593444824,4.886660099029541,180,330,180,6.050309898003453,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.174573263953818]}"
216,335.0,-17.334671020507812,-11.7661771774292,5.5684943199157715,180,360,180,9.033757917112526,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.174844658923963]}"
217,335.0,-19.276098251342773,-10.82284164428711,8.453256607055664,180,390,180,34.564940827254595,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.175116053894104]}"
218,348.0,-18.325363159179688,-10.039558410644531,8.285804748535156,180,420,188,40.35108272602739,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.175387448864253]}"
219,364.0,-20.102439880371094,-10.20349407196045,9.898945808410645,180,450,180,17.639540126169887,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.175658843834402]}"
220,370.0,-20.09335708618164,-11.768782615661621,8.324575424194336,180,480,180,6.050359380708305,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17593023880455]}"
221,368.0,-19.683061599731445,-10.770243644714355,8.91281795501709,180,510,180,14.841314592780718,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.1762016337747]}"
222,363.0,-19.473663330078125,-10.03515625,9.438508033752441,180,540,180,6.050381030564659,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17647302874484]}"
223,361.0,-20.723711013793945,-11.31955623626709,9.404153823852539,180,570,180,3.0336523512794917,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17674442371499]}"
224,360.0,-21.654123306274414,-14.5265531539917,7.127569198608398,180,600,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.177015818685135]}"
225,360.0,-22.464595794677734,-15.856624603271484,6.607970237731934,180,630,171,3.033661708166426,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17728721365528]}"
226,359.0,-21.306415557861328,-14.963981628417969,6.342434883117676,180,660,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17755860862543]}"
227,359.0,-20.878305435180664,-14.59995174407959,6.278352737426758,180,690,171,4.286260767084712,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.177830003595574]}"
228,358.0,-20.78325080871582,-14.54202651977539,6.241224765777588,180,720,171,3.0336773035457165,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17810139856572]}"
229,357.0,-19.92578125,-14.412394523620605,5.513385772705078,180,750,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17837279353587]}"
230,356.0,-20.694204330444336,-14.660017013549805,6.034186363220215,180,780,190,3.0336866611303575,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.178644188506013]}"
231,355.0,-20.482309341430664,-14.46830940246582,6.013998985290527,180,810,180,3.033692899633093,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.17891558347616]}"
232,354.0,-20.057132720947266,-14.395411491394043,5.661722183227539,180,840,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.179186978446307]}"
233,353.0,-20.3481388092041,-14.708319664001465,5.639819145202637,180,870,190,3.0337022576998685,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.179458373416452]}"
234,353.0,-19.708057403564453,-14.094576835632324,5.613480091094971,180,900,190,3.0337069368157827,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.179729768386604]}"
235,352.0,-19.68547821044922,-13.92080307006836,5.764674186706543,180,930,190,3.0337116159986453,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.180001163356746]}"
236,350.0,-20.563770294189453,-14.65432357788086,5.909448146820068,180,960,190,3.0337178550132746,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18027255832689]}"
237,350.0,-21.346450805664062,-15.943733215332031,5.402717113494873,180,990,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18054395329704]}"
